jobId,title,companyName,companySize,industry,companyType,salaryMin,salaryMax,city,province,cityTier,education,experience,skills,welfare,publishDate,sourceUrl
SYN-0001,Java开发工程师,网易,5000人以上,互联网/游戏,上市公司,10,20,西安,陕西,新一线,本科,3-5年,Linux|Spring Boot|Kafka,五险一金|年终奖,2026-04-03,https://synthetic.dataset/1
SYN-0002,数据分析师,商汤科技,1000-2000人,人工智能,民营,30,55,青岛,山东,二线,本科,1-3年,Spark SQL|Matplotlib|NumPy|Seaborn,五险一金|年终奖|带薪年假|股票期权|补充商业保险,2026-06-26,https://synthetic.dataset/2
SYN-0003,Android开发工程师,字节跳动,5000人以上,互联网/IT,民营,10,20,合肥,安徽,二线,本科,1-3年,Git|Java|Gradle|Retrofit,五险一金|年终奖|弹性工作,2026-06-28,https://synthetic.dataset/3
SYN-0004,推荐系统工程师,米哈游,2000-5000人,游戏/互联网,民营,30,55,西安,陕西,新一线,硕士,5-10年,协同过滤|TensorFlow|推荐算法,五险一金|年终奖|带薪年假|股票期权|补充商业保险,2026-06-19,https://synthetic.dataset/4
SYN-0005,前端开发工程师,科大讯飞,2000-5000人,人工智能,上市公司,10,18,上海,上海,一线,大专,1-3年,TypeScript|Webpack|CSS|React,五险一金|年终奖|带薪年假|弹性工作,2026-05-12,https://synthetic.dataset/5
SYN-0006,iOS开发工程师,米哈游,2000-5000人,游戏/互联网,民营,15,25,西安,陕西,新一线,本科,应届,Objective-C|Git|CoreData|Combine,五险一金|年终奖|股票期权|弹性工作|餐补|交通补贴,2026-05-22,https://synthetic.dataset/6
SYN-0007,Python开发工程师,拼多多,5000人以上,互联网/电商,上市公司,12,20,南京,江苏,新一线,本科,5-10年,Django|MySQL|Redis|Celery|Linux,五险一金|年终奖|弹性工作|餐补,2026-07-21,https://synthetic.dataset/7
SYN-0008,C++开发工程师,小鹏汽车,2000-5000人,新能源汽车,上市公司,30,55,西安,陕西,新一线,硕士,5-10年,Docker|Qt|多线程|Boost|STL,五险一金|年终奖|股票期权,2026-07-03,https://synthetic.dataset/8
SYN-0009,Go后端开发工程师,华为,5000人以上,通信/IT,民营,40,70,杭州,浙江,新一线,本科,5-10年,Kubernetes|PostgreSQL|Linux,五险一金|年终奖|股票期权|弹性工作|餐补|交通补贴,2026-06-18,https://synthetic.dataset/9
SYN-0010,Go后端开发工程师,字节跳动,5000人以上,互联网/IT,民营,12,22,大连,辽宁,二线,本科,3-5年,Kubernetes|gRPC|Linux|Go|Docker,五险一金|年终奖|补充商业保险,2026-05-17,https://synthetic.dataset/10
SYN-0011,算法工程师(NLP/CV),美团,5000人以上,互联网/O2O,上市公司,10,20,青岛,山东,二线,本科,3-5年,PyTorch|BERT|Python|OpenCV|模型部署,五险一金|年终奖|弹性工作|餐补,2026-04-04,https://synthetic.dataset/11
SYN-0012,算法工程师(NLP/CV),莉莉丝,1000-2000人,游戏/互联网,民营,35,60,南京,江苏,新一线,硕士,3-5年,TensorFlow|深度学习|模型部署,五险一金|年终奖|股票期权|弹性工作|餐补|交通补贴,2026-05-05,https://synthetic.dataset/12
SYN-0013,数据仓库工程师,小米集团,5000人以上,消费电子/互联网,上市公司,40,70,成都,四川,新一线,本科,3-5年,Flink|Python|数据治理|ETL|Spark SQL|Hadoop,五险一金|年终奖|带薪年假|弹性工作,2026-07-17,https://synthetic.dataset/13
SYN-0014,Go后端开发工程师,理想汽车,2000-5000人,新能源汽车,上市公司,8,14,南京,江苏,新一线,本科,1-3年,PostgreSQL|Kafka|MySQL,五险一金|年终奖|带薪年假|股票期权|补充商业保险,2026-05-01,https://synthetic.dataset/14
SYN-0015,Python开发工程师,百度,5000人以上,互联网/IT,上市公司,8,14,南京,江苏,新一线,本科,1-3年,FastAPI|MySQL|MongoDB,五险一金|年终奖|弹性工作|餐补,2026-05-18,https://synthetic.dataset/15
SYN-0016,运维开发工程师,快手,2000-5000人,互联网/短视频,民营,25,45,宁波,浙江,二线,本科,3-5年,Kubernetes|Go|GitOps|Terraform|Prometheus|Docker,五险一金|年终奖|股票期权|带薪年假,2026-07-15,https://synthetic.dataset/16
SYN-0017,Go后端开发工程师,华为,5000人以上,通信/IT,民营,12,22,上海,上海,一线,大专,3-5年,MySQL|PostgreSQL|Linux|Gin,五险一金|年终奖|股票期权|带薪年假,2026-05-09,https://synthetic.dataset/17
SYN-0018,数据分析师,小鹏汽车,2000-5000人,新能源汽车,上市公司,12,22,广州,广东,一线,大专,应届,Spark SQL|Python|SQL,五险一金|年终奖|弹性工作|股票期权,2026-05-14,https://synthetic.dataset/18
SYN-0019,区块链开发工程师,OPPO,5000人以上,消费电子,民营,15,25,武汉,湖北,新一线,本科,1-3年,Solidity|Hyperledger|Rust|Node.js|智能合约|Ethereum,五险一金|年终奖|股票期权|带薪年假,2026-07-05,https://synthetic.dataset/19
SYN-0020,算法工程师(NLP/CV),科大讯飞,2000-5000人,人工智能,上市公司,30,55,武汉,湖北,新一线,硕士,3-5年,Scikit-learn|Python|BERT,五险一金|年终奖|带薪年假|股票期权|补充商业保险,2026-07-17,https://synthetic.dataset/20
SYN-0021,Android开发工程师,荣耀,2000-5000人,消费电子,民营,15,25,上海,上海,一线,硕士,1-3年,Flutter|Java|Retrofit,五险一金|年终奖|股票期权|带薪年假,2026-04-19,https://synthetic.dataset/21
SYN-0022,运维开发工程师,寒武纪,500-1000人,人工智能/芯片,上市公司,10,18,济南,山东,二线,本科,应届,Prometheus|GitOps|Terraform|Docker|Go|Nginx,五险一金|年终奖|弹性工作|股票期权,2026-06-13,https://synthetic.dataset/22
